sample_label	d1	d2
c2g1s184	8.970916	8.207761
c2g1s185	5.822956	10.262858
c2g1s186	6.573121	10.996548
c2g1s187	6.758603	5.539148
c2g1s188	4.108139	6.917848
c2g1s189	4.72585	8.253421
c2g1s190	5.700652	7.93153
c2g1s191	3.785894	10.302918
c2g1s192	5.514295	10.502533
c2g1s193	7.913801	8.355401
c2g1s194	5.674201	8.878779
c2g1s195	6.422256	11.706095
c2g1s196	6.06086	5.709003
c2g1s197	8.96862	8.518632
c2g1s198	3.842466	9.156186
c2g1s199	7.421246	6.847308
c2g1s200	6.28228	8.124973
c2g1s201	6.691284	7.240727
c2g1s202	3.435595	8.074634
c2g1s203	3.661556	6.572813
c2g1s204	7.372821	8.778398
c2g1s205	4.588856	8.040503
c2g1s206	4.657404	8.74794
c2g1s207	6.678122	7.534221
c2g1s208	3.772771	8.495072
c2g1s209	6.991403	9.077653
c2g1s210	3.340124	7.498899
c2g1s211	4.887432	10.919868
c2g1s212	6.681005	8.611153
c2g1s213	8.621731	7.712634
c2g1s214	3.545855	7.173959
c2g1s215	6.36541	8.164311
c2g1s216	7.124462	10.649853
c2g1s217	7.110364	8.260755
c2g1s218	5.537975	9.523525
c2g1s219	7.983162	8.839658
c2g1s220	4.724927	9.669781
c2g1s221	6.572515	10.259713
c2g1s222	2.767212	7.940718
c2g1s223	7.969617	7.562449
c2g1s224	7.607618	6.666648
c2g1s225	3.530252	6.233691
c2g1s226	4.253661	8.107651
c2g1s227	8.109071	9.970017
c2g1s228	3.442112	8.82987
c2g1s229	8.042477	6.88264
c2g1s230	2.577846	8.226719
c2g1s231	4.041092	7.111822
c2g1s232	3.3165	7.595993
c2g1s233	5.432254	5.33333
c2g1s234	4.81953	10.430947
c2g1s235	4.717367	11.451199
c2g1s236	5.651058	6.766906
c2g1s237	8.458709	8.476794
c2g1s238	8.433297	8.544641
c2g1s239	7.820359	7.595647
c2g1s240	4.257078	9.40747
c2g1s241	5.063578	6.369475
c2g1s242	6.899006	8.665467
c2g1s243	3.331259	8.950621
c2g1s244	8.184998	7.591568
c2g1s245	3.902365	7.252767
c2g1s246	7.043423	8.719673
c2g1s247	6.502131	7.596409
c2g1s248	5.576597	7.132378
c2g1s249	8.753391	9.116248
c2g1s250	5.460987	7.936607
c2g1s251	5.895761	10.593678
c2g1s252	6.893685	8.211149
c2g1s253	2.957263	9.364554
c2g1s254	5.806569	6.525175
c2g1s255	4.991568	6.447376
c2g1s256	6.026742	6.024689
c2g1s257	7.97951	7.217355
c2g1s258	4.617014	11.209486
c2g1s259	6.913424	10.765779
c2g1s260	6.312438	10.519171
c2g1s261	3.638686	7.996787
c2g1s262	4.237202	11.382547
c2g1s263	3.040881	6.958979
c2g1s264	7.454175	7.406242
c2g1s265	7.385276	9.552184
c2g1s266	8.680797	9.463412
c2g1s267	3.050974	9.722713
c2g1s268	4.057345	8.702224
c2g1s269	5.9747	8.672677
c2g1s270	8.311406	6.5861
c2g1s271	7.287186	6.331901
c2g1s272	6.016357	9.028687
c2g1s273	7.743559	10.390601
c2g1s274	5.831235	5.55958
c2g1s275	4.28541	8.01647
c2g1s276	4.875823	5.778654
c2g1s277	4.556619	7.142531
c2g1s278	8.872252	8.898933
c2g1s279	3.432175	7.186119
c2g1s280	3.628798	10.692476
c2g1s281	4.954106	9.908254
c2g1s282	6.646035	6.739489
c2g1s283	5.920475	6.604288
c2g1s284	5.724899	8.970111
c2g1s285	5.885585	5.415599
c2g1s286	8.22673	7.479321
c2g1s287	7.24406	5.701076
c2g1s288	5.574624	7.379963
c2g1s289	3.372151	9.135339
c2g1s290	3.151528	10.057513
c2g1s291	2.999193	7.130417
c2g1s292	8.487013	8.175124
c2g1s293	3.436502	9.479412
c2g1s294	6.651401	6.659523
c2g1s295	3.536986	8.065574
c2g1s296	6.999162	11.130198
c2g1s297	6.30651	7.337623
c2g1s298	2.712349	7.979151
c2g1s299	7.173433	11.199362
c2g1s300	5.678345	10.585672
c2g1s301	7.047104	8.580316
c2g1s302	3.13609	8.801214
c2g1s303	7.460619	11.292218
c2g1s304	3.700627	10.745353
c2g1s305	5.060151	8.929006
c2g1s306	7.524086	8.684107
c2g1s307	7.08067	11.201978
c2g1s308	3.893268	10.542175
c2g1s309	7.689779	10.744524
c2g1s310	8.831628	8.917957
c2g1s311	8.24099	6.948593
c2g1s312	7.036663	10.228909
c2g1s313	7.662753	6.804669
c2g1s314	7.124938	9.417156
c2g1s315	5.864593	7.867308
c2g1s316	5.58251	11.496313
c2g1s317	4.106596	7.851147
c2g1s318	5.60042	7.263125
c2g1s319	6.983689	9.505596
c2g1s320	3.2253	9.581549
c2g1s321	8.669825	8.295095
c2g1s322	3.056653	7.536085
c2g1s323	8.980101	8.675283
c2g1s324	7.9355	6.800221
c2g1s325	3.609467	10.720611
c2g1s326	8.127378	6.797919
c2g1s327	4.709888	9.168803
c2g1s328	3.714232	9.594653
c2g1s329	5.98375	7.193075
c2g1s330	4.788342	7.908375
c2g1s331	7.951809	10.770894
c2g1s332	4.7882	11.317546
c2g1s333	8.075982	9.482988
c2g1s334	8.507648	9.755736
c2g1s335	5.968301	6.19764
c2g1s336	5.901237	7.697862
c2g1s337	7.000704	6.654234
c2g1s338	4.03524	8.152154
c2g1s339	6.235127	11.623566
c2g1s340	6.566386	11.553516
c2g1s341	4.371039	9.80536
c2g1s342	4.166591	10.994705
c2g1s343	6.774967	8.391189
c2g1s344	7.185599	10.338093
c2g1s345	6.713146	10.919148
c2g1s346	5.241082	8.441505
c2g1s347	3.206818	9.339146
c2g1s348	6.598055	7.388759
c2g1s349	6.966952	6.772248
c2g1s350	7.053522	10.497375
c2g1s351	6.887088	10.175491
c2g1s352	8.738984	9.544344
c2g1s353	8.307195	9.68591
c2g1s354	5.95905	6.287099
c2g1s355	4.144649	8.925328
c2g1s356	8.535192	8.054477
c2g1s357	4.776274	8.358587
c2g1s358	8.405982	9.037682
c2g1s359	5.955129	5.861147
c2g1s360	2.860399	7.949906
c2g1s361	7.317351	10.164385
c2g1s362	3.213427	8.871759
c2g1s363	7.590515	9.311948
c2g1s364	5.820744	9.558478
c2g1s365	3.575088	7.338313
c2g1s366	4.664389	10.910475
c2g1s367	5.651489	11.448786
c2g1s368	5.255803	10.79658
c2g1s369	8.01028	10.242954
c2g1s370	4.575169	6.716047
c2g1s371	8.31285	7.161392
c2g1s372	4.487194	10.553529
c2g1s373	7.1371	9.770599
c2g1s374	6.137914	8.907056
c2g1s375	3.219673	9.221042
c2g1s376	3.639004	10.687482
c2g1s377	7.595505	7.500473
c2g1s378	3.561872	6.620948
c2g1s379	6.703361	8.068429
c2g1s380	6.576751	7.07501
c2g1s381	5.587031	10.622995
c2g1s382	6.350178	5.549042
c2g1s383	5.663028	8.654685
c2g1s384	4.736236	7.418214
c2g1s385	2.873336	9.703932
c2g1s386	8.9658	8.587065
c2g1s387	6.940419	7.881721
c2g1s388	7.997538	8.485651
c2g1s389	4.479793	9.685237
c2g1s390	6.075692	6.272268
c2g1s391	4.908687	6.39498
c2g1s392	4.975562	9.548008
c2g1s393	8.330248	10.173965
c2g1s394	3.084285	9.741163
c2g1s395	8.285093	10.11803
c2g1s396	7.166606	8.058449
c2g1s397	3.258327	8.660671
c2g1s398	4.260739	8.979157
c2g1s399	7.44639	7.219483
c2g1s400	4.084394	10.964285
c2g1s401	5.056663	9.710769
c2g1s402	2.779266	9.817274
c2g1s403	6.852473	10.742463
c2g1s404	7.601559	9.489763
c2g1s405	8.972719	8.516995
c2g1s406	6.585843	6.390128
c2g1s407	2.854291	9.750799
c2g1s408	4.605031	6.939956
c2g1s409	3.051421	6.76002
c2g1s410	5.72435	5.934306
c2g1s411	8.271013	9.583238
c2g1s412	3.55277	7.43571
c2g1s413	8.995233	8.552937
c2g1s414	4.62808	6.138779
c2g1s415	3.470599	9.443047
c2g1s416	3.693071	7.403846
c2g1s417	5.788102	5.391983
c2g1s418	6.253803	6.852003
c2g1s419	2.978153	7.486309
c2g1s420	8.739165	8.38988
c2g1s421	6.532404	6.700067
c2g1s422	4.530726	6.695299
c2g1s423	8.55313	8.848253
c2g1s424	5.056925	5.61119
c2g1s425	7.175005	7.279137
c2g1s426	3.65997	7.63304
c2g1s427	8.687049	8.240664
c2g1s428	3.841034	8.12369
c2g1s429	6.027343	10.98715
c2g1s430	5.690987	8.519554
c2g1s431	7.091054	7.437949
c2g1s432	5.397668	6.991079
c2g1s433	6.502425	10.366648
c2g1s434	7.749333	9.292866
c2g1s435	8.060523	10.014355
c2g1s436	8.482002	9.149959
c2g1s437	8.114186	7.843533
c2g1s438	6.047007	6.964674
c2g1s439	5.826038	11.630048
c2g1s440	7.115338	11.088033
c2g1s441	3.449028	6.974415
c2g1s442	7.495184	7.091638
c2g1s443	4.224738	7.511068
c2g1s444	6.439588	6.997421
c2g1s445	8.130667	7.404831
c2g1s446	2.784069	7.454181
c2g1s447	6.776935	8.730522
c2g1s448	2.888535	8.941014
c2g1s449	6.738494	8.163124
c2g1s450	8.694547	9.01334
c2g1s451	3.869221	9.891539
c2g1s452	6.063388	8.048612
c2g1s453	5.361421	5.713586
c2g1s454	6.933027	9.8336
c2g1s455	8.724665	8.361342
c2g1s456	2.764669	8.084918
c2g1s457	5.788579	7.526159
c2g1s458	3.174918	9.39544
c2g1s459	8.321296	9.052032
c2g1s460	3.756454	6.241001
c2g1s461	7.335291	9.138495
c2g1s462	4.810222	6.201883
c2g1s463	4.284781	10.975441
c2g1s464	6.263305	8.908468
c2g1s465	7.60991	8.633132
c2g1s466	4.181252	5.797384
c2g1s467	5.355001	7.738725
c2g1s468	5.792303	9.964884
c2g1s469	6.457221	10.366341
c2g1s470	7.177978	9.687636
c2g1s471	4.440009	8.099114
c2g1s472	3.957426	9.040116
c2g1s473	8.782717	8.009546
c2g1s474	2.815542	7.194988
c2g1s475	6.568847	8.813485
c2g1s476	8.013455	9.045453
c2g1s477	4.856588	9.640009
c2g1s478	6.742089	5.99501
c2g1s479	2.690814	8.883496
c2g1s480	7.90493	10.436156
c2g1s481	5.802567	10.253683
c2g1s482	3.955271	10.485388
c2g1s483	7.032709	10.035726
c2g1s484	3.252255	7.937243
c2g1s485	6.796896	8.38433
c2g1s486	4.160699	9.297288
c2g1s487	7.315661	9.871871
c2g1s488	2.861261	8.408382
c2g1s489	6.081033	10.034191
c2g1s490	8.642057	9.895741
c2g1s491	6.172461	11.57675
c2g1s492	7.624588	9.609458
c2g1s493	7.547094	5.903574
c2g1s494	7.561714	6.498957
c2g1s495	5.572039	8.558749
c2g1s496	5.359656	8.898531
c2g1s497	2.866944	7.143353
c2g1s498	4.190402	6.154024
c2g1s499	8.943087	8.351469
